Sample ID,Fruit #,Tray#,Fruit Number,Subsample (n=50) seed,Total Seed Weight (g),Mean Total Seed Count,Comments,FrtWt,FWslice,DWslice,L1_Frt1,Chroma1_Frt1,Hue1_Frt1,L2_Frt1,Chroma2_Frt1,Hue2_Frt1,Firm1_Frt1,Firm2_Frt1,SSC1_Frt1,DM,avHue,avFirm,avSSC
134260,17,263,50725,0.0672,0.4262,317,,133.47,6.94,1.37,71.53,36.95,103.10,71.24,39.40,101.50,7.84,6.66,11.20,19.74,102.30,7.25,11.20
134265,2,268,50795,0.0656,0.2859,218,,93.05,4.68,0.88,69.10,33.94,101.40,67.67,38.54,101.50,6.96,5.76,12.50,18.80,101.45,6.36,12.50
134271,16,274,50917,0.0723,0.5250,363,,103.42,5.05,0.97,72.30,29.06,99.80,69.48,35.85,101.30,6.78,6.77,14.00,19.21,100.55,6.78,14.00
134272,12,275,50931,0.0744,0.6685,449,,132.83,5.89,1.24,69.56,24.32,99.10,69.77,27.82,99.90,5.95,5.74,13.30,21.05,99.50,5.85,13.30
134272,13,275,50932,0.0744,0.5839,392,,150.50,6.15,1.32,65.54,28.33,98.70,70.09,24.50,98.70,5.77,5.04,14.00,21.46,98.70,5.41,14.00
134272,14,275,50933,0.0686,0.6936,506,,141.30,5.99,1.23,66.59,27.72,98.90,68.71,28.21,100.00,6.33,4.69,14.50,20.53,99.45,5.51,14.50
134274,9,277,50964,0.0744,0.1793,120,,76.19,5.96,1.08,54.69,24.94,98.60,54.80,25.51,99.20,2.38,2.53,15.50,18.12,98.90,2.46,15.50
134278,10,281,51032,0.0690,0.7418,538,,144.30,9.12,1.79,62.12,31.88,99.10,61.49,27.66,98.50,2.72,2.29,16.00,19.63,98.80,2.51,16.00
134278,12,281,51034,0.0709,0.7155,505,,132.60,7.58,1.50,63.56,32.75,98.40,57.47,26.53,96.50,3.06,3.00,16.30,19.79,97.45,3.03,16.30
134284,7,287,51137,0.0626,0.5137,410,,115.16,5.05,1.03,72.17,31.40,100.10,71.24,31.95,99.90,5.55,6.21,13.00,20.40,100.00,5.88,13.00
134284,8,287,51138,0.0724,0.5526,382,,118.65,6.35,1.22,73.43,31.98,100.60,74.29,30.31,100.70,7.78,7.67,11.00,19.21,100.65,7.73,11.00
134285,10,288,51158,0.0661,0.3244,245,,95.46,6.95,1.34,69.21,33.07,100.00,71.39,28.60,100.40,5.05,5.04,13.70,19.28,100.20,5.05,13.70
134287,15,290,51199,0.0685,0.5169,377,,126.69,4.99,1.00,65.78,23.00,99.10,63.35,26.51,98.20,3.47,3.44,15.00,20.04,98.65,3.46,15.00
134287,16,290,51200,0.0700,0.6582,470,,149.11,5.03,1.02,65.04,32.50,99.90,64.33,30.00,99.70,3.26,3.35,15.40,20.28,99.80,3.31,15.40
134287,17,290,51201,0.0723,1.1422,790,,211.49,7.26,1.53,62.29,25.81,97.90,61.60,27.07,98.10,3.73,3.78,15.20,21.07,98.00,3.76,15.20
134288,1,291,51203,0.0721,0.9096,631,,178.40,11.88,2.40,65.78,25.88,97.50,66.41,26.35,97.20,4.55,4.43,13.50,20.20,97.35,4.49,13.50
134289,3,292,51223,0.0775,0.8109,523,,159.20,5.69,1.12,64.76,25.89,97.20,65.77,23.17,98.30,3.33,3.38,15.00,19.68,97.75,3.36,15.00
134289,5,292,51225,0.0722,0.6335,439,,142.80,4.80,0.98,55.46,22.37,98.30,56.02,24.84,97.20,0.98,0.85,17.50,20.42,97.75,0.92,17.50
134289,6,292,51226,0.0607,0.5639,464,,171.90,5.61,1.14,57.73,24.57,97.30,58.14,26.03,97.80,0.94,0.87,18.50,20.32,97.55,0.91,18.50
134289,7,292,51227,0.0706,0.4252,301,,154.70,5.58,1.13,56.21,23.76,97.90,56.37,24.64,97.90,0.96,0.97,18.00,20.25,97.90,0.97,18.00
134289,8,292,51228,0.0777,0.7254,467,,164.90,5.13,1.01,61.70,27.12,98.70,61.19,27.19,98.20,1.59,1.54,17.50,19.69,98.45,1.57,17.50
134289,9,292,51229,0.0704,0.5150,366,,135.70,4.64,0.84,60.69,32.86,98.70,57.50,26.82,98.70,2.74,2.92,16.00,18.10,98.70,2.83,16.00
134465,4,297,60004,0.0689,0.7068,513, ,125.81,4.69,0.97,60.47,25.58,99.10,56.20,26.21,99.10,1.42,1.58,17.00,20.68,99.10,1.50,17.00
134467,4,299,60040,0.0683,0.4426,324,,86.34,4.72,0.86,62.63,28.81,99.10,64.13,30.53,99.20,3.22,3.33,14.20,18.22,99.15,3.28,14.20
134469,18,301,60090,0.0732,0.4234,289,,94.35,5.12,0.92,66.69,28.54,99.60,64.31,24.51,99.30,3.89,4.11,14.00,17.97,99.45,4.00,14.00
134472,7,304,60132,0.0689,0.7509,545,,125.12,5.06,0.97,71.14,28.44,100.40,70.46,27.38,100.20,4.61,3.93,14.50,19.17,100.30,4.27,14.50
134472,15,304,60140,0.0731,0.4520,309,,102.82,4.73,0.83,71.62,31.43,102.60,71.87,33.11,101.40,5.24,5.64,13.00,17.55,102.00,5.44,13.00
134473,10,305,60153,0.0685,0.6655,486,,111.68,5.09,0.98,71.93,30.82,99.50,72.39,27.53,99.20,4.80,5.44,13.50,19.25,99.35,5.12,13.50
134479,11,306,60172,0.0707,0.6279,444,,113.06,4.34,0.87,60.71,26.77,99.20,62.92,24.50,99.10,2.88,2.55,15.80,20.05,99.15,2.72,15.80
134479,4,311,60255,0.0626,0.4761,380,,83.44,4.38,0.83,68.21,29.57,100.70,66.41,30.30,100.60,4.86,4.96,14.40,18.95,100.65,4.91,14.40
134479,5,311,60256,0.0698,0.3933,282,,77.48,3.84,0.74,64.13,32.52,99.40,64.55,29.35,98.60,3.63,3.67,15.20,19.27,99.00,3.65,15.20
134487,2,319,60396,0.0711,0.3963,279,,81.17,4.21,0.74,54.22,27.26,100.00,56.12,25.96,101.10,2.12,2.53,16.00,17.58,100.55,2.33,16.00
134487,13,319,60407,0.0631,0.6570,521,,108.27,5.43,0.97,73.09,35.86,101.30,72.94,34.04,100.60,6.00,5.04,12.00,17.86,100.95,5.52,12.00
134488,4,320,60416,0.0669,0.5748,430,,111.75,5.45,0.89,73.00,33.57,100.60,72.78,32.95,100.20,6.86,7.18,10.50,16.33,100.40,7.02,10.50
134488,5,320,60417,0.0689,0.4833,351,,111.07,4.72,0.89,66.94,27.28,99.60,65.28,31.78,99.60,3.52,3.15,16.00,18.86,99.60,3.34,16.00
