Vine,Tray,TrayFruit,FruitNum,FruitUUID,ShootID,FruitPos,FloweringColour,SubTLeaf,Height,Notes,SeedCount,FASTDate,OrchName,ExptName,Cultivar,TmtNAME,BlockNAME,PlotNAME,Location,FreshWeight,DishID,FWslice,DWslice,L1,Chroma1,Hue1,L2,Chroma2,Hue2,Firm1,Firm2,SSC1,SSC2,DryMatter,AvHue,AvFirm,AvSSC,Comments
5,224,16,,50034,10,2,y,n,-10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,224,,154.81,D2578,6.6,1.3,68.2,22.5,98.1,68.8,24.6,98.7,5.8,5.6,14.5,,18.8,98.4,5.7,14.5,
5,224,17,,50035,10,3,y,m,-10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,224,,147.36,D2579,5.7,1.1,67.7,32.5,99.1,68.1,30.0,98.8,6.0,5.4,15.0,,19.2,99.0,5.7,15,
5,224,18,,50036,10,4,y,l,-10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,224,,134.42,D2580,5.3,1.0,64.0,23.5,97.9,64.1,23.8,99.0,4.4,4.0,15.0,,18.3,98.5,4.2,15,
5,225,1,,50037,10,5,y,l,-10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,225,,145.12,D2706,5.5,1.0,70.8,26.7,99.0,67.8,31.0,99.2,5.7,5.8,12.8,,18.8,99.1,5.7,12.8,
5,225,2,,50038,10,6,y,l,-10,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,225,,124.10,D2707,5.4,1.0,65.3,23.8,99.3,65.7,26.8,99.2,5.1,5.2,14.0,,17.9,99.3,5.2,14,
5,225,3,,50039,12,1,y,m,-20,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,225,,121.12,D2708,5.4,1.0,71.4,31.8,99.2,68.7,30.9,99.7,5.8,6.3,13.2,,18.0,99.5,6.1,13.2,
5,225,4,,50040,12,2,y,l,-20,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,225,,78.45,D2709,4.4,0.7,73.7,35.1,102.7,74.7,32.4,102.5,8.4,6.8,8.0,,16.4,102.6,7.6,8,
5,225,5,,50041,14,1,y,n,-30,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,225,,88.15,D2710,4.6,0.8,75.2,26.7,100.7,72.4,27.6,97.3,7.3,7.2,9.8,,17.6,99.0,7.2,9.8,
5,225,6,,50042,14,2,y,n,-30,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,225,,97.03,D2711,4.8,0.9,73.4,32.3,100.8,75.3,29.0,100.2,7.8,7.7,10.0,,18.0,100.5,7.7,10,
5,225,7,,50043,14,3,y,n,-30,,x,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,225,,83.24,D2712,4.3,0.9,72.7,25.6,99.1,73.4,28.4,100.9,7.0,6.1,10.5,,20.5,100.0,6.6,10.5,
5,225,8,,50044,14,4,y,l,-30,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,225,,94.77,D2714,4.3,0.8,74.1,33.3,101.0,73.6,28.4,100.8,6.9,6.8,10.0,,17.5,100.9,6.9,10,
5,225,9,,50045,15,1,w,n,-30,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,225,,85.00,D2715,4.4,0.8,72.8,30.7,99.2,72.0,28.6,101.6,6.9,6.7,10.8,,17.3,100.4,6.8,10.8,
5,225,10,,50046,15,2,w,n,-30,,,30-Apr,KiwMac,Variability 9 Vines,Gold3,Spur,5,225,,84.33,D2716,4.2,0.7,70.7,34.2,100.4,72.0,30.9,101.9,6.6,5.8,11.8,,16.7,101.2,6.2,11.8,
