Vine,FruitID,Combined,ShootID,FruitPos,Flowering,Sub-T Leaf,Height,Notes,SampleID,FruitNo,FAST_Date,OrchName,ExptName,Cultivar,TmtNAME,BlockNAME,PlotNAME,Location,FrtWt,DishID,FWslice,DWslice,L1,Chroma1,Hue1,L2,Chroma2,Hue2,Firm1,Firm2,SSC1,SSC2,DM,avHue,avFirm,avSSC,Comments,Blk seed,Red Spread,Red Int Inner,Red Int Outer,Yellow(FAST),CoreFirm,Rot,Bomb,LTB,Shrivel,SampleSSCAvg,SampleSSCMin,SampleSSCMax,SampleSSCPass,Flatplate_1,Flatplate_2,Pericarp_Firm,Frt_Diam_W1,Frt_Diam_W2,Frt_Length,nonD_Firm_1,nonD_Firm_2,Firm_Gun_1,Firm_Gun_2,Seed_Wt_Total,Seed_Wt_Sub,Full_Seed_Wt_Sub,Full_Seed_Count_Sub,Empty_Seed_Count_Sub
4,42,40042,16,4,y,l,-10,,134160,7,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,163,,139.47,D0150,4.5,0.9,58.4,23.2,99.5,58.6,27.2,100.0,1.9,1.5,17.5,,20.5,99.8,1.7,17.5,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,43,40043,17,1,p,l,-20,,134160,8,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,163,,91.62,D0151,3.6,0.7,56.8,25.9,101.0,56.3,23.1,100.7,1.5,1.8,17.0,,19.3,100.9,1.7,17,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,44,40044,18,1,w,n,-20,,134160,9,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,163,,136.45,D0152,4.9,1.0,57.4,22.9,100.0,57.7,24.3,100.0,1.6,1.4,17.0,,20.0,100.0,1.5,17,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,45,40045,18,2,w,n,-20,,134160,10,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,163,,140.99,D0153,5.1,1.0,61.9,26.9,100.8,60.2,22.8,99.6,2.2,2.0,16.5,,20.2,100.2,2.1,16.5,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,46,40046,18,3,w,l,-20,,134160,11,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,163,,129.74,D0154,4.5,0.9,55.6,24.7,99.8,57.8,24.1,100.8,1.8,1.6,16.5,,19.7,100.3,1.7,16.5,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,47,40047,18,4,w,l,-20,,134160,12,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,163,,130.20,D0155,4.2,0.9,62.8,27.3,100.4,62.6,26.0,100.1,2.2,1.9,16.5,,20.3,100.3,2.1,16.5,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,48,40048,21,1,y,n,-10,,134160,13,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,163,,146.48,D0156,5.0,1.0,61.8,21.1,100.1,63.4,23.0,101.4,1.8,1.6,16.5,,20.9,100.8,1.7,16.5,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,49,40049,21,2,y,l,10,,134160,14,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,163,,134.52,D0157,4.0,0.8,59.3,24.1,99.0,57.5,22.4,97.8,2.0,1.8,17.0,,20.1,98.4,1.9,17,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,50,40050,21,3,w,n,20,,134160,15,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,163,,127.96,D0158,4.4,0.9,65.1,21.0,100.5,64.1,23.5,99.9,2.0,1.8,16.5,,21.2,100.2,1.9,16.5,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
4,51,40051,21,4,w,l,-10,,134160,16,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,4,163,,138.72,D0159,4.6,1.0,62.9,21.9,100.4,64.0,22.5,99.7,1.9,1.9,17.0,,20.9,100.1,1.9,17,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
