vine_id,from,to,length,to_shoot_id,spurs,cane_id,diameter,to_origin_id,orientation,base_origin_id,notes,
3,71,72,100,,,2,,,W,3,,
3,72,73,110,35,,2,,,W,3,,
3,71,74,230,,,2,,,W,3,,
3,74,75,50,,,2,,,W,3,,
3,75,76,80,36,,2,,,W,3,,
3,76,77,50,37,,2,,,W,3,,
3,74,78,150,,,2,,,W,3,,
3,78,79,50,,,2,,,W,3,,
3,79,80,100,38,,2,,,W,3,,
3,81,28,110,,,,,3,,3,,
3,81,82,340,,,,,,,4,,
3,82,83,140,,.,,,,,4,,
3,83,84,60,,,,,,,4,,
3,84,85,90,39,,,,,,4,,
3,85,86,60,40,,,,,,4,,
3,82,87,10,,,,,,,4,,
3,87,88,10,,.,1,,,W,4,,
3,88,89,90,,,1,,,W,4,,
3,89,90,120,41,,1,,,W,4,,
3,88,91,40,,.,1,,,W,4,,
3,91,92,50,42,,1,,,W,4,,
3,92,93,10,43,,1,,,W,4,,
3,93,94,40,44,,1,,,W,4,,
3,91,95,70,,.,1,,,W,4,,
3,95,96,60,,,1,,,W,4,,
3,96,97,130,45,,1,,,W,4,,
3,95,98,50,,.,1,,,W,4,,
3,98,99,80,,,1,,,W,4,,
3,99,100,140,46,,1,,,W,4,,
3,98,101,140,,.,1,,,W,4,,
3,101,102,70,,,1,,,W,4,,
3,102,103,60,47,,1,,,W,4,,
3,103,104,30,48,,1,,,W,4,,
3,101,105,170,,.,1,,,W,4,,
3,105,106,50,,,1,,,W,4,,
3,106,107,110,49,,1,,,W,4,,
3,105,108,120,,.,1,,,W,4,,
3,108,109,70,,,1,,,W,4,,
3,109,110,70,50,,1,,,W,4,,
3,108,111,60,,.,1,,,W,4,,
3,111,112,50,51,,1,,,W,4,,
3,111,113,140,,.,1,,,W,4,,
3,113,114,70,,,1,,,W,4,,
3,114,115,60,52,,1,,,W,4,,
3,113,116,220,,.,1,,,W,4,,
3,116,117,80,,,1,,,W,4,,
3,117,118,70,53,,1,,,W,4,,
3,116,119,430,,.,1,,,W,4,,
3,119,120,50,,,1,,,W,4,,
3,120,121,90,54,,1,,,W,4,,
3,119,122,80,,.,1,,,W,4,,
3,122,123,40,,,1,,,W,4,,
3,123,124,40,55,,1,,,W,4,,
3,125,81,90,,,,,4,,4,,
3,125,126,240,,,,,,E,5,,
3,126,127,120,,,,,,E,5,,
3,127,128,60,,,,,,E,5,,
3,128,129,90,,,,,,E,5,,
3,129,130,60,,,,,,E,5,,
3,130,131,90,56,,,,,E,5,,
3,126,132,60,,,,,,E,5,,
3,132,133,40,,,,,,E,5,,
3,133,134,60,,,,,,E,5,,
3,134,135,150,,,,,,E,5,,
3,135,136,60,,,,,,E,5,,
3,136,137,40,57,,,,,E,5,,
3,137,138,40,58,,,,,E,5,,
3,132,139,80,,,,,,E,5,,
3,139,140,90,,,,,,E,5,,
