SampleID,FruitNo,FAST_Date,OrchName,ExptName,Cultivar,TmtNAME,BlockNAME,PlotNAME,Location,FrtWt,DishID,FWslice,DWslice,L1,Chroma1,Hue1,L2,Chroma2,Hue2,Firm1,Firm2,SSC1,SSC2,DM,avHue,avFirm,avSSC,Comments,Blk seed,Red Spread,Red Int Inner,Red Int Outer,Yellow(FAST),CoreFirm,Rot,Bomb,LTB,Shrivel,SampleSSCAvg,SampleSSCMin,SampleSSCMax,SampleSSCPass,Flatplate_1,Flatplate_2,Pericarp_Firm,Frt_Diam_W1,Frt_Diam_W2,Frt_Length,nonD_Firm_1,nonD_Firm_2,Firm_Gun_1,Firm_Gun_2,Seed_Wt_Total,Seed_Wt_Sub,Full_Seed_Wt_Sub,Full_Seed_Count_Sub,Empty_Seed_Count_Sub,,,,,,,,,,
134465,11,2/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,6,297,,99.85,D0388,4.4,0.9,63.0,28.1,99.9,62.0,21.9,99.0,2.6,2.5,16.0,,19.4,99.5,2.6,16,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
134465,12,2/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,6,297,,96.85,D0389,4.5,0.9,60.1,25.4,99.4,60.0,25.2,100.1,1.9,1.7,16.0,,19.2,99.8,1.8,16,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
134465,13,2/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,6,297,,102.65,D0390,4.6,0.9,54.6,23.0,99.6,56.0,24.6,99.0,1.6,1.5,16.5,,18.8,99.3,1.5,16.5,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
134465,14,2/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,6,297,,129.88,D0391,5.1,1.0,60.3,21.7,98.7,63.4,24.7,99.1,2.1,1.6,16.5,,20.0,98.9,1.9,16.5,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
134465,15,2/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,6,297,,111.64,D0392,4.6,0.9,58.9,24.1,99.6,60.2,25.1,99.0,2.0,1.7,15.5,,19.0,99.3,1.9,15.5,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
134465,16,2/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,6,297,,108.66,D0393,4.5,0.9,60.5,24.9,99.7,58.6,22.1,97.9,2.4,1.9,16.5,,19.0,98.8,2.1,16.5,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
134465,17,2/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,6,297,,105.02,D0394,4.6,0.9,57.9,21.5,99.6,57.9,24.0,100.1,1.4,1.4,17.0,,19.8,99.9,1.4,17,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
134465,18,2/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,6,297,,111.75,D0395,4.4,0.9,60.1,23.9,99.3,56.8,20.0,99.5,1.8,1.4,17.0,,19.7,99.4,1.6,17,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
134466,1,2/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,6,298,,110.97,D0231,6.4,1.3,61.0,23.0,99.2,58.5,22.1,99.2,1.8,2.0,17.0,,20.4,99.2,1.9,17,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
134466,2,2/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,6,298,,,,,,,,,,,,,,,,,,,,NF,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
134466,3,2/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,6,298,,100.56,D0232,6.3,1.2,58.9,27.2,99.2,58.1,26.0,99.4,2.4,2.3,16.2,,19.6,99.3,2.3,16.2,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
134466,4,2/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,6,298,,,,,,,,,,,,,,,,,,,,NF,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
134466,5,2/05/2020,KiwMac,Variability 9 Vines,Gold3,Strung,6,298,,90.26,D0233,6.5,1.2,54.3,25.6,100.6,54.3,21.9,99.6,1.9,1.6,15.4,,18.8,100.1,1.7,15.4,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
