Vine,Tray,TrayFruit,FruitID,Combined,ShootID,FruitPos,Flowering,Height,Sub-T Leaf,Notes,SampleID,FruitNo,FAST_Date,OrchName,ExptName,Cultivar,TmtNAME,BlockNAME,PlotNAME,Location,FrtWt,DishID,FWslice,DWslice,L1,Chroma1,Hue1,L2,Chroma2,Hue2,Firm1,Firm2,SSC1,SSC2,DM,avHue,avFirm,avSSC,Comments,Blk seed,Red Spread,Red Int Inner,Red Int Outer,Yellow(FAST),CoreFirm,Rot,Bomb,LTB,Shrivel,SampleSSCAvg,SampleSSCMin,SampleSSCMax,SampleSSCPass,Flatplate_1,Flatplate_2,Pericarp_Firm,Frt_Diam_W1,Frt_Diam_W2,Frt_Length,nonD_Firm_1,nonD_Firm_2,Firm_Gun_1,Firm_Gun_2,Seed_Wt_Total,Seed_Wt_Sub,Full_Seed_Wt_Sub,Full_Seed_Count_Sub,Empty_Seed_Count_Sub
5,236,15,0248,50248,68,6,y,-20,n,,134233,15,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,236,,103.25,D2613,4.7,0.8,72.1,34.7,101.4,72.6,26.5,100.6,6.4,7.0,11.3,,16.5,101.0,6.7,11.3,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,236,16,0249,50249,68,7,y,-20,n,,134233,16,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,236,,101.63,D2614,5.4,0.9,70.5,25.5,100.6,71.0,30.1,100.6,6.2,6.7,13.0,,16.9,100.6,6.5,13,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,236,17,0250,50250,68,8,w,-20,l,,134233,17,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,236,,99.31,D2615,4.6,0.8,71.4,31.2,100.6,71.5,30.9,100.4,6.0,6.4,12.0,,17.2,100.5,6.2,12,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,236,18,0251,50251,69,1,w,20,l,,134233,18,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,236,,123.75,D2616,5.4,1.0,72.3,37.2,101.5,73.3,36.8,101.6,6.1,6.5,10.0,,18.2,101.6,6.3,10,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,237,1,0252,50252,69,2,w,20,l,,134234,1,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,237,,107.83,d1819,4.8,0.9,71.0,38.8,101.0,71.3,33.8,100.2,5.6,7.3,12.4,,18.5,100.6,6.5,12.4,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,237,2,0253,50253,69,3,w,20,l,,134234,2,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,237,,127.28,d1820,5.6,1.1,73.5,31.5,101.0,74.7,35.7,100.9,8.3,6.7,9.2,,19.1,101.0,7.5,9.2,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,237,3,0254,50254,70,1,y,10,m,,134234,3,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,237,,126.39,d1821,6.3,1.1,72.1,30.0,100.7,72.5,29.1,100.6,7.5,7.7,9.8,,17.9,100.7,7.6,9.8,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,237,4,0255,50255,70,2,y,10,m,,134234,4,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,237,,131.89,d1822,6.9,1.3,73.3,30.7,100.6,72.8,35.5,101.0,7.5,7.2,9.2,,18.1,100.8,7.4,9.2,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,237,5,0256,50256,70,3,y,10,l,,134234,5,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,237,,141.93,d1823,6.1,1.1,74.1,28.3,99.8,74.5,28.8,99.6,8.2,7.8,9.2,,18.6,99.7,8.0,9.2,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
5,237,6,0257,50257,70,4,y,10,l,,134234,6,30/04/2020,KiwMac,Variability 9 Vines,Gold3,Spur,5,237,,132.00,d1824,6.4,1.2,74.1,30.5,99.9,75.2,26.2,99.7,8.1,8.0,9.4,,18.9,99.8,8.1,9.4,,,,,,,,,,,,0,0,0,FALSE,,,,,,,,,,,,,,,
