vine_id,from,to,length,to_shoot_id,spur,cane_id,x,y,quadrant,diameter,to_origin_id,orientation,base_origin_id,notes
1,163,164,160,105,,14,370,310,18,,,E,8,
1,164,165,90,106,,14,380,400,18,,,E,8,
1,165,166,140,107,,14,460,490,18,,,E,8,
1,167,142,100,,,,60,40,10,,8,,8,
1,167,168,60,,,,490,70,15,,,W,9,
1,168,169,100,,,,400,120,15,,,W,9,
1,169,170,130,,,,390,240,15,,,W,9,
1,170,171,100,,,,490,290,15,,,W,9,
1,171,172,30,108,,,470,310,15,,,W,9,
1,172,173,20,109,,,410,320,15,,,W,9,
1,173,174,10,110,,,430,330,15,,,W,9,
1,174,175,100,111,,,320,320,15,,,W,9,
1,175,176,90,112,,,240,320,15,,,W,9,
1,176,177,120,113,,,140,360,15,,,W,9,
1,177,178,20,114,,,140,340,15,,,W,9,
1,171,179,220,,,,140,430,9,,,W,9,
1,179,180,100,115,,,90,480,9,,,W,9,
1,180,181,20,116,,,80,490,9,,,W,9,
1,179,182,50,,,,180,470,9,,,W,9,
1,182,183,130,117,,,230,480,9,,,W,9,
1,183,184,60,118,,,230,650,9,,,W,9,
1,184,185,70,119,,,250,710,9,,,W,9,
1,185,186,100,120,,,250,810,9,,,W,9,
1,170,187,120,,,,350,350,15,,,W,9,
1,187,188,200,,,,250,500,15,,,W,9,
1,188,189,190,121,,4,130,640,15,,,W,9,
1,189,190,180,122,,4,80,820,15,,,W,9,
1,190,191,80,123,,4,70,920,15,,,W,9,
1,191,192,120,124,,4,40,50,14,,,W,9,
1,192,193,90,125,,4,40,120,14,,,W,9,
1,193,194,180,126,,4,10,300,14,,,W,9,
1,194,195,180,127,,4,0,470,14,,,W,9,
1,195,196,110,128,,4,30,580,20,,,W,9,
1,196,197,80,129,,4,40,670,20,,,W,9,
1,197,198,150,130,,4,20,830,20,,,W,9,
1,198,199,420,131,,4,80,260,19,,,W,9,
1,199,200,190,132,,4,150,400,19,,,W,9,
1,200,201,70,133,,4,190,410,19,,,W,9,
1,202,167,100,,,,480,30,15,,9,,9,
1,202,203,120,,,,410,150,16,,,E,10,
1,203,204,230,,,,330,350,16,,,E,10,
1,204,205,230,,,,200,360,16,,,E,10,
1,205,206,30,134,,,160,430,16,,,E,10,
1,205,207,170,,,,160,540,16,,,E,10,
1,207,208,160,135,,13,170,670,16,,,E,10,
1,208,209,110,136,,13,160,800,16,,,E,10,
1,209,210,60,137,,13,160,890,16,,,E,10,
1,210,211,80,138,,13,160,970,16,,,E,10,
1,211,212,70,139,,13,150,30,17,,,E,10,
1,212,213,100,140,,13,130,100,17,,,E,10,
1,213,214,60,141,,13,110,180,17,,,E,10,
1,214,215,60,142,,13,90,230,17,,,E,10,
1,215,216,110,143,,13,80,350,17,,,E,10,
1,216,217,40,144,,13,70,370,17,,,E,10,
1,217,218,70,145,,13,70,440,17,,,E,10,
1,218,219,110,146,,13,60,560,17,,,E,10,
1,219,220,100,147,,13,60,700,17,,,E,10,
