Shoot,Origin,Leaf loss,No. Fruit,Shoot Length,Shoot type,Pruned?,Regrowth?,Strung?,Shoot diameter,notes,,,,,,,,
310,14,3,,1,,,,,3.17,,,,,,,,,
311,14,1,,211,,y,,,9.66,,,,,,,,,
312,14,2,,96,,,,,9.73,,,,,,,,,
313,14,2,,93,,,,,8.64,,,,,,,,,
314,14,3,,6,,,,,7.33,,,,,,,,,
315,14,2,,144,,,,,8.99,,,,,,,,,
316,14,2,,86,,,,,9.14,,,,,,,,,
317,14,3,,4,,,,,5.59,,,,,,,,,
318,14,3,,2,,,,,5.61,,,,,,,,,
319,14,2,,78,,,,,9.21,,,,,,,,,
320,14,3,,1,,,,,6.17,,,,,,,,,
321,14,2,,5,,,,,7.4,,,,,,,,,
322,14,3,,28,,,,,6.06,,,,,,,,,
323,14,1,,71,,,,,8.54,,,,,,,,,
324,14,1,,26,,,,,7.04,,,,,,,,,
325,14,2,,54,,,,,7.46,,,,,,,,,
326,14,2,,25,,,,,6.27,,,,,,,,,
327,14,3,,3,,,,,4.38,,,,,,,,,
328,14,1,,39,,y,,,9.28,,,,,,,,,
329,14,3,,10,,y,,,8.74,,,,,,,,,
330,15,1,,157,,,,,7.86,,,,,,,,,
331,15,1,,5,,,,,7.32,,,,,,,,,
332,15,2,,4,,,,,4.91,,,,,,,,,
333,15,1,,29,,,,,5.97,,,,,,,,,
334,16,1,,,l,,,,16.69,,,,,,,,,
335,16,1,,1,,,,,5.28,,,,,,,,,
336,16,1,,7,,,,,5.43,,,,,,,,,
337,16,1,,14,,,,,6.8,,,,,,,,,
338,16,1,,48,,,,,9.35,,,,,,,,,
339,16,1,,6,,,,,5.98,,,,,,,,,
340,16,2,,42,,,,,8.21,,,,,,,,,
341,16,2,,31,,,,,7.89,,,,,,,,,
342,16,3,,1,,,,,6.59,,,,,,,,,
343,16,1,,209,,y,,,11.91,,,,,,,,,
344,16,3,,6,,,,,6.5,,,,,,,,,
345,16,1,,12,,,,,8.01,,,,,,,,,
346,16,1,,146,,,,,11.35,,,,,,,,,
347,16,2,,,l,,,,9.09,,,,,,,,,
348,16,3,,5,,,,,5.92,,,,,,,,,
349,16,2,,66,,,,,8.99,,,,,,,,,
350,16,1,,76,,,,,10.34,,,,,,,,,
351,16,2,,48,,,,,9.19,,,,,,,,,
352,16,2,,16,,,,,6.33,,,,,,,,,
353,16,1,,71,,,,,9.14,,,,,,,,,
354,16,1,,60,,,,,11.21,,,,,,,,,
355,16,2,,77,,,,,8.92,,,,,,,,,
356,17,1,,,l,,,strung,14.9,,,,,,,,,
357,17,3,,8,,y,,,14.25,,,,,,,,,
358,17,1,,30,,,,,7.56,,,,,,,,,
359,17,1,,,l,,,,12.18,,,,,,,,,
360,17,1,,81,,,,,8.91,,,,,,,,,
361,17,1,,4,,,,,6.53,,,,,,,,,
362,17,2,,,l,,,,10.05,,,,,,,,,
363,17,1,,,l,,,,11.35,,,,,,,,,
364,17,3,,2,,,,,5.8,,,,,,,,,
365,17,2,,5,,,,,6.11,,,,,,,,,
366,17,1,,,l,,,,10.54,,,,,,,,,
367,17,2,,79,,,,,9.43,,,,,,,,,
368,17,3,,7,,,,,4.28,,,,,,,,,
369,17,2,,47,,,,,10.48,,,,,,,,,
370,17,1,,112,,y,,,11.63,,,,,,,,,
371,17,2,,73,,,,,9.46,,,,,,,,,
372,17,1,,86,,y,,,10.13,,,,,,,,,
373,17,1,,32,,,,,7.85,,,,,,,,,
374,17,1,,72,,y,,,10.44,,,,,,,,,
375,17,3,,2,,,,,7.46,,,,,,,,,
376,17,3,,29,,,,,8.1,,,,,,,,,
377,17,1,,54,,,,,8.95,,,,,,,,,
378,17,3,,6,,,,,5.84,,,,,,,,,
379,17,2,,20,,y,,,8.44,,,,,,,,,
