Shoot,Origin,Leaf loss,No. Fruit,Shoot Length,Shoot type,Pruned?,Regrowth,Strung?,Shoot diameter,notes
97,6,3,,2,,,,,6.24,
98,6,1,,,l,,,,11.55,
99,6,2,,,l,,,,9.33,
100,6,3,,2,,,,,3.7,
101,6,1,,92,,r,,,12.57,
102,6,2,,46,,,,,6.78,
103,6,1,,,l,,,,10.02,
104,6,2,,53,,,,,10.22,
105,6,1,,2,,,,,5.49,
106,6,1,,105,,,,,9.85,
107,6,1,,59,,y,,,10.63,
108,6,1,,60,,,,,7.86,
109,6,2,,21,,y,,,8.39,
110,6,1,,8,,y,,,9.43,
111,6,1,,1,,,,,7.85,
112,7,1,,18,,,,,7.45,
113,7,3,,5,,,,,5.68,
114,7,1,,,l,,,,8.66,
115,7,1,,9,,,,,6.79,
116,7,1,,7,,,,,5.61,
117,7,1,,6,,,,,5.57,
118,7,1,,,l,,,,11.81,
119,8,2,,2,,,,,6.1,
120,8,2,,11,,,,,5.34,
121,8,1,,9,,,,,5.38,
122,8,1,,5,,y,,,10.75,
123,9,1,,,l,,,,16.33,
124,9,3,,7,,y,,,16.31,
125,9,2,,4,,,,,5.07,
126,9,1,,3,,y,,,12.88,
127,9,1,,,l,,,,14.01,
128,9,1,,12,,,,,5.88,
129,9,1,,11,,,,,6.18,
130,9,1,,13,,,,,8.41,
131,9,1,,3,,,,,4.79,
132,9,1,,7,,,,,6.22,
133,9,1,,,l,,,,10.05,
134,9,2,,26,,,,,5.47,
135,10,1,,,l,,,,17.47,
136,10,1,,11,,y,,,13.56,
137,10,1,,40,,,,,7.14,
138,10,1,,4,,,,,8.28,
139,10,1,,25,,,,,7.14,
140,10,3,,2,,,,,6.48,
141,10,3,,3,,,,,6.2,
142,10,1,,36,,,,,7.59,
143,10,2,,40,,,,,7.39,
144,10,1,,2,,,,,6.13,
145,10,1,,23,,,,,7.49,
146,10,3,,1,,,,,5.87,
147,10,3,,7,,y,,,7.41,
148,10,1,,3,,,,,5.34,
149,10,3,,1,,,,,4.71,
150,10,1,,18,,,,,6.91,
151,10,1,,23,,y,,,6.61,
152,10,1,,41,,,,,7.36,
153,10,1,,16,,y,,,5.45,
154,11,1,,28,,,,,7.38,
155,11,1,,2,,,,,5.23,
156,11,1,,12,,y,,,9.72,
157,11,1,,25,,,,,5.3,
158,11,1,,6,,y,,,13.29,
159,11,1,,,l,,,,12.81,
160,11,1,,,l,,,,14.2,
161,11,3,,13,,,,,7.73,
162,11,1,,,l,,,,12.47,
163,11,3,,6,,,,,5.7,
164,11,1,,6,,,,,6.31,
165,11,1,,,l,,,,9.41,
166,11,1,,13,,,,,6.56,
167,11,2,,,l,,,,11,
168,11,3,,2,,,,,8.34,
169,11,2,,,l,,,,12.62,
170,11,3,,,l,,,,10.41,
171,11,2,,,l,,,,9.49,
172,11,3,,3,,,,,7.13,
173,11,2,,,l,,,,9.93,
174,11,2,,16,,,,,6.54,
175,11,1,,143,,,,,13.18,
176,11,2,,27,,,,,6.74,
177,11,2,,32,,,,,8.57,
178,11,1,,17,,,,,7.11,
179,11,2,,36,,,,,8.07,
180,11,2,,23,,y,,,8.58,
181,11,1,,3,,,,,5.22,
182,11,1,,41,,,,,7.96,
183,11,1,,3,,,,,5.8,
184,11,1,,12,,,,,6.19,
185,12,1,,,l,,,,12.97,
186,12,1,,22,,,,,6.45,
187,12,1,,,l,,,,12.58,
188,12,1,,6,,,,,7.63,
189,12,1,,6,,,,,5.66,
190,12,3,,2,,,,,6.17,
191,12,1,,168,,,,,9.99,
192,12,2,,138,,,,,8.98,
193,12,3,,84,,,,,10.27,
194,12,2,,7,,,,,6.2,
195,12,3,,47,,,,,8.28,
196,12,2,,71,,,,,10.41,
197,12,2,,22,,,,,6.87,
198,12,2,,77,,y,,,10.93,
200,12,3,,6,,,,,4.77,
201,12,3,,32,,,,,7.52,
202,12,3,,6,,,,,5.18,
203,12,2,,5,,,,,.,
204,12,1,,3,,,,,5.93,
205,12,1,,5,,,,,6.65,
206,12,1,,94,,,,,9.02,
207,12,3,,3,,,,,8.06,
208,12,3,,6,,,,,5.86,
209,12,3,,2,,,,,4.94,
210,12,3,,3,,,,,7.36,
211,12,3,,9,,,,,4.63,
212,12,3,,5,,,,,8.26,
213,12,3,,1,,,,,4.54,
214,12,3,,10,,,,,6.1,
215,12,3,,2,,,,,4.5,
216,12,3,,2,,,,,4.93,
217,12,3,,4,,,,,6.04,
218,12,2,,5,,,,,5.05,
219,12,2,,40,,,,,7.12,
220,13,1,,97,,,,,8.86,
221,13,1,,5,,,,,4.47,
222,13,2,,43,,,,,6.12,
223,13,1,,5,,,,,4.54,
224,13,1,,14,,,,,4.4,
225,11,1,,,l,,,,9.61,
226,13,1,,6,,y,,,10.43,
227,14,3,,1,,,,,3.72,
228,14,3,,,l,,,,10.53,
229,14,1,,69,,,,,8.15,
230,14,1,,38,,,,,7.08,
231,14,3,,1,,,,,4.22,
232,14,2,,,l,,,,10.23,
233,14,2,,107,,,,,9.13,
234,15,1,,,l,,,,13.69,
235,15,2,,6,,,,,5.06,
236,15,1,,146,,y,,,12.28,
237,15,1,,159,,,,,10.22,
238,15,1,,6,,,,,7.38,
239,15,2,,10,,,,,4.91,
240,15,1,,125,,,,,9.56,
241,15,1,,,l,,,,9.66,
242,15,1,,4,,,,,6.89,
243,15,3,,1,,,,,3.31,
244,15,1,,34,,,,,8.42,
245,15,1,,2,,,,,7.06,
246,15,1,,45,,,,,7.53,
247,15,1,,111,,r,,,12.36,
248,15,1,,6,,,,,7.53,
249,15,1,,6,,,,,5.6,
250,15,1,,17,,,,,8.01,
251,15,1,,4,,,,,7.79,
252,15,1,,5,,,,,6.16,
253,15,1,,3,,,,,7.37,
254,15,2,,30,,y,,,7.84,
255,15,2,,16,,y,,,7.36,
256,16,1,,13,,,,,7.18,
257,16,1,,4,,,,,7.45,
258,16,2,,7,,,,,5.76,
259,16,1,,6,,,,,6.08,
260,16,2,,130,,,,,7.56,
261,16,1,,19,,,,,7.12,
262,16,3,,9,,y,,,9.59,
263,18,1,,,l,,,,12.74,
264,18,3,,2,,,,,4.33,
265,18,1,,4,,,,,7.24,
266,18,2,,51,,,,,7.52,
267,18,1,,123,,,,,9.83,
268,18,1,,3,,,,,5.79,
269,18,3,,2,,,,,6.74,
270,18,1,,84,,,,,8.27,
271,18,1,,2,,,,,4.71,
272,18,1,,4,,,,,7.08,
273,18,1,,4,,,,,6.94,
274,18,1,,3,,,,,7.54,
275,18,1,,3,,,,,6.1,
276,18,1,,7,,,,,5.97,
277,18,1,,38,,,,,8.07,
278,18,3,,3,,,,,4.63,
279,18,1,,3,,,,,6.24,
280,18,2,,24,,,,,6.92,
281,18,1,,3,,,,,5.48,
282,18,1,,5,,,,,6.73,
283,18,1,,3,,,,,5.27,
284,18,1,,2,,,,,6.62,
285,18,1,,29,,y,,,8.26,
286,18,1,,20,,,,,7.07,
287,18,3,,9,,y,,,6.06,
288,19,1,,10,,y,,,8.22,
289,19,1,,,l,,,,13.19,
290,19,1,,96,,,,,10.03,
291,19,3,,1,,,,,2.43,
292,19,2,,25,,,,,6.7,
293,19,1,,28,,,,,7.15,
294,19,1,,2,,,,,6.23,
295,19,2,,33,,,,,6.66,
296,20,2,,,l,,,,13.32,
297,20,2,,30,,,,,6.54,
298,20,1,,13,,,,,5.74,
299,20,1,,14,,,,,7.23,
300,20,2,,10,,,,,4.91,
301,20,1,,13,,,,,6.86,
302,20,1,,6,,,,,7.67,
303,20,1,,,l,,,,11.82,
304,20,1,,,l,,,,13.77,
305,20,2,,136,,,,,9.18,
307,20,2,,165,,,,,11.61,
308,20,1,,120,,,,,11.47,
309,20,3,,1,,,,,4.05,
310,20,2,,51,,,,,8.17,
311,20,1,,4,,,,,5.69,
312,20,2,,36,,,,,7.56,
313,20,2,,20,,,,,5.74,
314,20,2,,34,,,,,6.66,
315,20,2,,4,,,,,4.23,
316,20,1,,25,,,,,8.28,
317,20,1,,5,,,,,7.05,
318,20,2,,44,,,,,7.08,
319,20,2,,24,,y,,,8.9,
320,21,2,,1,,,,,5.06,
321,21,1,,2,,,,,5.06,
322,21,1,,,l,,,,9.43,
323,21,1,,13,,,,,6.3,
324,21,3,,3,,,,,3.4,
325,21,3,,2,,,,,3.48,
326,21,3,,14,,,,,6.44,
327,21,3,,5,,,,,5.77,
328,21,3,,38,,,,,7.57,
329,21,2,,76,,,,,7.94,
330,21,3,,2,,,,,4.77,
331,21,1,,23,,,,,8.14,
332,21,2,,80,,,,,8.12,
333,21,3,,1,,,,,5.65,
334,21,2,,26,,,,,7.47,
335,21,3,,41,,,,,7.96,
336,21,2,,16,,,,,7.59,
337,21,3,,1,,,,,3.53,
338,21,3,,3,,,,,6.49,
339,21,2,,50,,,,,7.3,
340,21,3,,1,,,,,4.71,
341,21,1,,4,,,,,6.23,
342,21,3,,2,,,,,3.37,
343,21,2,,23,,,,,6.24,
344,22,1,,90,,,,,8.88,
345,22,1,,82,,,,,8.84,
346,22,1,,2,,,,,5.09,
347,22,1,,12,,,,,6.14,
348,22,1,,22,,,,,6.37,
349,22,2,,19,,,,,6.07,
350,22,1,,,l,,,,12.47,
351,22,1,,,l,,,,13.12,
352,22,1,,7,,,,,6.22,
353,22,1,,232,,,,,13.9,
354,22,1,,4,,,,,7.08,
355,22,1,,,l,,,,11.99,
356,22,1,,40,,,,,7.15,
357,22,1,,104,,,,,8.47,
358,22,1,,146,,,,,11.65,
359,22,3,,4,,,,,5.37,
360,22,3,,3,,,,,7.22,
361,22,2,,88,,,,,9.74,
362,22,2,,10,,,,,8.12,
363,22,2,,135,,,,,10.58,
364,22,1,,45,,,,,7.95,
365,22,1,,75,,,,,9.4,
366,22,2,,61,,,,,8.6,
367,22,3,,6,,,,,5.03,
368,22,2,,42,,y,,,9.3,
369,22,2,,21,,y,,,8.13,
370,23,1,,,l,,,,12.17,
371,23,1,,17,,,,,5.98,
372,23,2,,27,,,,,7.45,
373,23,3,,1,,,,,3,
374,23,1,,,l,,,,10.14,
375,23,2,,7,,,,,7.31,
376,23,1,,,l,,,,12.87,
377,23,1,,,l,,,,12.35,
378,23,1,,14,,,,,5.92,
379,23,3,,1,,,,,6.73,
380,23,1,,57,,,,,7.47,
381,23,1,,59,,,,,7.8,
382,23,2,,106,,,,,8.75,
383,23,1,,27,,,,,6.36,
384,23,3,,1,,,,,6.35,
385,23,3,,6,,,,,7.63,
386,23,2,,34,,,,,7.08,
387,23,3,,6,,,,,6.44,
388,23,2,,16,,,,,7.16,
389,23,3,,2,,,,,6.05,
390,23,3,,28,,,,,7.52,
391,23,2,,13,,,,,5.27,
392,23,3,,29,,y,,,8.04,
393,23,3,,28,,y,,,9.67,
394,23,1,,,l,,,,12.93,
395,23,1,,,l,,,,10.74,
401,23,1,,,l,,,,12.62,
402,23,3,,2,,,,,6.17,
403,23,1,,3,,,,,6.71,
404,23,1,,180,,,,,9.72,
405,23,1,,,l,,,,9.25,
406,23,1,,22,,,,,7.5,
407,23,3,,1,,,,,6.98,
408,23,1,,87,,,,,9.12,
409,23,1,,67,,,,,8.79,
410,23,3,,9,,,,,7.13,
411,23,2,,48,,,,,7.59,
412,23,2,,95,,y,,,9.36,
413,23,3,,13,,,,,6.41,
414,23,2,,44,,,,,7.27,
415,23,2,,30,,,,,6.7,
416,23,3,,6,,,,,8.06,
417,23,3,,35,,y,,,9.67,
418,23,3,,33,,y,,,6.91,
419,17,1,,,l,,,,10.81,
420,22,1,,11,,,,,4.92,
