Shoot,Origin,Leaf loss,No. Fruit,Shoot Length,Shoot type,Pruned?,Regrowth,Strung?,Shoot diameter,notes,,,,,,,,
301,13,1,,180,,,,,6.81,,,,,,,,,
302,13,2,,110,,,,,7.74,,,,,,,,,
303,13,1,,30,,,,,5.86,,,,,,,,,
304,13,1,,580,,,,,7.72,,,,,,,,,
305,13,1,,110,,,,,6.65,,,,,,,,,
306,13,1,,360,,,,,8.11,,,,,,,,,
307,13,1,,40,,,,,0.55,,,,,,,,,
308,13,1,,190,,,,,6.85,,,,,,,,,
309,13,1,,100,,y,,,7.82,,,,,,,,,
310,13,1,,300,,y,,,7.54,,,,,,,,,
311,14,1,,,l,,,strung,13.63,,,,,,,,,
312,14,1,,580,,,,,8.05,,,,,,,,,
313,14,1,,,l,,,,14.46,,,,,,,,,
314,14,1,,50,,,,,5.68,,,,,,,,,
315,14,2,,,l,,,,10.96,,,,,,,,,
316,14,1,,460,,,,,7.85,,,,,,,,,
317,14,3,,250,,,,,8.15,,,,,,,,,
318,14,2,,890,,,,,9.81,,,,,,,,,
319,14,3,,650,,,,,9.83,,,,,,,,,
320,14,2,,1280,,,,,8.63,,,,,,,,,
321,14,3,,170,,,,,6.43,,,,,,,,,
322,14,3,,460,,,,,7.95,,,,,,,,,
323,14,2,,690,,,,,9.63,,,,,,,,,
324,14,3,,590,,,,,9.58,,,,,,,,,
325,14,2,,920,,y,,,9.5,,,,,,,,,
326,14,3,,580,,,,,10.24,,,,,,,,,
327,14,2,,360,,y,,,9,,,,,,,,,
328,14,3,,450,,y,,,9.43,,,,,,,,,
329,14,3,,160,,y,,,10,,,,,,,,,
330,14,1,,,l,,,strung,16.46,,,,,,,,,
331,15,1,,,l,,,,8.72,,,,,,,,,
332,15,1,,90,,y,,,9.13,,,,,,,,,
333,15,1,,20,,,,,5.42,,,,,,,,,
334,15,1,,10,,,,,7.47,,,,,,,,,
335,15,1,,,l,,,,12.55,,,,,,,,,
336,15,1,,150,,,,,6.92,,,,,,,,,
337,15,2,,40,,,,,4.99,,,,,,,,,
338,15,2,,770,,,,,8.55,,,,,,,,,
339,15,2,,,l,,,,10.26,,,,,,,,,
340,15,3,,5,,,,,4.77,,,,,,,,,
341,15,3,,930,,,,,8.99,,,,,,,,,
342,15,2,,260,,,,,7.14,,,,,,,,,
343,15,3,,360,,,,,8.49,,,,,,,,,
344,15,3,,20,,,,,8.15,,,,,,,,,
345,15,2,,570,,,,,8.08,,,,,,,,,
346,15,3,,40,,,,,7.29,,,,,,,,,
347,15,3,,320,,,,,9.16,,,,,,,,,
348,15,2,,750,,,,,7.77,,,,,,,,,
349,15,2,,70,,,,,5.38,,,,,,,,,
350,15,3,,260,,,,,7.1,,,,,,,,,
351,15,3,,20,,,,,5.48,,,,,,,,,
352,15,2,,330,,,,,8.27,,,,,,,,,
353,15,3,,130,,y,,,6.4,,,,,,,,,
354,15,3,,130,,y,,,9.69,,,,,,,,,
355,15,1,,100,,y,,,10.23,,,,,,,,,
356,15,1,,,l,,,,14.83,,,,,,,,,
357,15,1,,650,,,,,8.64,,,,,,,,,
358,15,1,,50,,,,,6.81,,,,,,,,,
359,15,1,,740,,,,,8.31,,,,,,,,,
360,16,2,,190,,y,,,8.11,,,,,,,,,
361,16,1,,,l,,,strung,11.43,,,,,,,,,
362,16,1,,100,,,,,6.65,,,,,,,,,
363,16,1,,50,,,,,6.71,,,,,,,,,
364,16,3,,20,,,,,5.49,,,,,,,,,
365,16,1,,50,,,,,5.25,,,,,,,,,
366,16,1,,20,,,,,6.57,,,,,,,,,
367,16,1,,40,,,,,4.96,,,,,,,,,
368,16,1,,30,,,,,4.26,,,,,,,,,
369,16,1,,230,,,,,6.99,,,,,,,,,
370,16,1,,,l,,,,14.89,,,,,,,,,
371,17,1,,,l,,,,11.93,,,,,,,,,
372,17,1,,80,,,,,6.01,,,,,,,,,
373,17,1,,,l,,,,11.01,,,,,,,,,
374,17,1,,,l,,,,12.36,,,,,,,,,
375,17,2,,,l,,,,12.08,,,,,,,,,
376,17,2,,50,,,,,5.69,,,,,,,,,
377,17,1,,,l,,,,11.81,,,,,,,,,
378,17,3,,100,,,,,6.18,,,,,,,,,
379,17,1,,,l,,,,11.77,,,,,,,,,
380,17,2,,,l,,,,11.07,,,,,,,,,
381,17,3,,10,,,,,4.78,,,,,,,,,
382,17,1,,,l,,,,11.82,,,,,,,,,
383,17,2,,630,,,,,7.75,,,,,,,,,
384,17,1,,1260,,y,,,11.56,,,,,,,,,
385,17,3,,650,,,,,9.05,,,,,,,,,
386,17,1,,20,,,,,4.43,,,,,,,,,
387,17,2,,1050,,,,,9.94,,,,,,,,,
388,17,3,,300,,,,,7.55,,,,,,,,,
389,17,1,,780,,y,,,8.86,,,,,,,,,
390,17,2,,830,,,,,9.57,,,,,,,,,
391,17,2,,100,,,,,6.4,,,,,,,,,
392,17,1,,430,,y,,,10.71,,,,,,,,,
393,17,2,,300,,y,,,9.55,,,,,,,,,
