Vine,Tray,TrayFruit,FruitUUID,ShootUUID,Quadrant,QuadrantFromLeader,QuadrantFromTrunk,FruitPos,FloweringColour,FloweringDate,SubTLeaf,Height,Notes,SeedCount,FASTDate,OrchName,ExptName,Cultivar,TmtNAME,BlockNAME,PlotNAME,Location,FreshWeight,DishID,FWslice,DWslice,L1,Chroma1,Hue1,L2,Chroma2,Hue2,Firm1,Firm2,SSC1,SSC2,DryMatter,AvHue,AvFirm,AvSSC,Comments
1,5,17,10089,1-47,5,2,3,2,w,2019-11-06,l,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,5,,85.8,D3036,4.39,0.79,59.58,28.33,101.9,59.75,32.69,103.6,1.9,1.86,15,,17.99544419,102.75,1.88,15,
1,5,18,10090,1-47,5,2,3,3,w,2019-11-06,l,10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,5,,108.66,D3037,4.92,0.89,58.78,31.54,103.5,61.51,28.11,102.3,2.12,2.2,15,,18.08943089,102.9,2.16,15,
1,6,1,10091,1-48,5,2,3,1,w,2019-11-06,m,-20,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,6,,142.45,D5211,8.1,1.39,63.55,30.15,104.9,61.01,31.65,105.7,2.85,2.53,14.4,,17.16049383,105.3,2.69,14.4,
1,6,2,10092,1-48,5,2,3,2,w,2019-11-06,m,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,6,,109.97,D5212,6.94,1.23,64.1,27.81,102.5,61.92,29.88,104.4,2.82,3.03,14.2,,17.72334294,103.45,2.925,14.2,
1,6,3,10093,1-48,5,2,3,3,w,2019-11-06,n,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,6,,,,,,,,,,,,,,,,,,,,NF
1,6,4,10094,1-48,5,2,3,4,w,2019-11-06,l,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,6,,121.39,D5213,7.68,1.35,62.46,31.36,103.6,62.19,28.55,104.1,3.5,3.08,14.1,,17.578125,103.85,3.29,14.1,
1,6,5,10095,1-49,5,2,3,1,w,2019-11-06,s,-20,,x,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,6,,141.12,D5214,8.25,1.5,62.74,29.34,104.1,62.37,32.78,105,2.32,2.93,14,,18.18181818,104.55,2.625,14,
1,6,6,10096,1-49,5,2,3,2,w,2019-11-06,l,-20,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,6,,106.69,D5215,6.69,1.22,62.99,32.78,103.6,58.52,33.63,106.5,1.88,1.75,15,,18.23617339,105.05,1.815,15,
1,6,7,10097,1-50,5,2,3,1,w,2019-11-06,s,-20,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,6,,124.06,D5216,6.77,1.25,63.32,33.96,104.4,64.32,31.66,102.9,2.69,2.42,14.3,,18.46381093,103.65,2.555,14.3,
1,6,8,10098,1-50,5,2,3,2,w,2019-11-06,m,-20,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,6,,111.02,D5217,7.28,1.32,61.99,29.28,102.8,61.95,25.25,100.5,2.69,1.75,14.5,,18.13186813,101.65,2.22,14.5,
1,6,9,10099,1-50,5,2,3,3,y,2019-11-04,l,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,6,,125.74,D5218,7.23,1.33,63.51,28.32,101.8,64.54,31.19,102.3,2.99,2.69,14.4,,18.395574,102.05,2.84,14.4,
1,6,10,10100,1-51,5,2,3,1,y,2019-11-04,m,-20,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,6,,149.47,D5219,8.82,1.66,63.04,29.25,102.7,64.99,28.98,102.4,3.01,2.74,15,,18.82086168,102.55,2.875,15,
1,6,11,10101,1-51,5,2,3,2,w,2019-11-06,m,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,6,,139.59,D5220,8.07,1.55,64.21,30.22,104.1,65.08,29.56,102.2,3.08,3.06,15.1,,19.20693928,103.15,3.07,15.1,
1,6,12,10102,1-51,5,2,3,3,w,2019-11-06,n,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,6,,131.15,D5221,7.99,1.49,62.17,30.15,102,62.91,26.39,101.5,2.22,2.25,15,,18.64831039,101.75,2.235,15,
1,6,13,10103,1-51,5,2,3,4,y,2019-11-04,l,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,6,,141.94,D5222,8.25,1.59,63.93,30.69,102.1,62.85,27.2,101.8,2.5,2.41,15.4,,19.27272727,101.95,2.455,15.4,
1,6,14,10104,1-51,5,2,3,5,w,2019-11-06,l,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,6,,127.58,D5223,7.76,1.49,65.32,28.62,101.7,63.97,26.57,102,1.95,2.42,15.3,,19.20103093,101.85,2.185,15.3,
1,6,15,10105,1-52,5,2,3,1,y,2019-11-04,m,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,6,,159.58,D5224,10.4,1.97,62.99,31.5,104,62.71,28.86,103.2,2.99,2.39,15.4,,18.94230769,103.6,2.69,15.4,
1,6,16,10106,1-52,5,2,3,2,y,2019-11-04,l,10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,6,,122.62,D5225,7.78,1.45,63.06,31.23,103.5,62.82,28.72,102.3,3.04,2.2,15,,18.63753213,102.9,2.62,15,
1,6,17,10107,1-53,5,2,3,1,w,2019-11-06,s,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,6,,131.93,D5226,8.39,1.47,63.99,30.94,104.4,62.82,35.68,107.1,3.68,2.91,14.6,,17.52085816,105.75,3.295,14.6,
1,6,18,10108,1-53,5,2,3,2,w,2019-11-06,m,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,6,,118.9,D5227,7.69,1.39,62.69,29.9,103.8,62.25,30.63,104.2,2.63,2.77,14.2,,18.07542263,104,2.7,14.2,
1,7,1,10109,1-53,5,2,3,3,w,2019-11-06,l,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,7,,121.31,D1835,7.82,1.41,64.22,36.38,104.1,64.53,33.26,104.3,3.25,2.78,14.8,,18.03069054,104.2,3.015,14.8,
1,7,2,10110,1-54,5,2,3,1,w,2019-11-06,s,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,7,,113.04,D1836,7.49,1.38,64.24,30.24,102.5,63.93,29.28,103.8,2.97,2.35,15,,18.42456609,103.15,2.66,15,
1,7,3,10111,1-54,5,2,3,2,w,2019-11-06,m,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,7,,137.7,D1837,9.06,1.68,64.42,29.68,103.2,63.65,26.53,103.8,3.53,3.49,14.5,,18.54304636,103.5,3.51,14.5,
1,7,4,10112,1-54,5,2,3,3,w,2019-11-06,l,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,7,,127.94,D1838,7.44,1.38,64.88,29.9,102.9,63.71,27.22,103.4,3.72,4.2,14.8,,18.5483871,103.15,3.96,14.8,
1,7,5,10113,1-55,5,2,3,1,w,2019-11-06,n,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,7,,122.29,D1839,7.84,1.38,62.76,31.7,103.8,63.42,30.78,104.2,2.87,2.57,14.2,,17.60204082,104,2.72,14.2,
1,7,6,10114,1-55,5,2,3,2,w,2019-11-06,n,-10,,,18/05/2020,KiwMac,Variability 9 Vines,Gold3,Conventional,1,7,,124.93,D1849,8.29,1.54,63.95,28.71,102.1,60.48,28.66,102.7,2.79,2.77,15,,18.57659831,102.4,2.78,15,
